       P_T-bin#  P_T       x   A_UL^sin2 \Delta_stat \Delta_sys  y     z       Q^2     depol     dilut
           1    0.106    0.168    0.017    0.024    0.010    0.748    0.534    1.394    0.882    0.185
           2    0.248    0.166    0.029    0.017    0.011    0.752    0.528    1.382    0.885    0.181
           3    0.410    0.165    0.053    0.021    0.015    0.757    0.523    1.379    0.888    0.175
           4    0.574    0.168    0.041    0.026    0.016    0.745    0.521    1.384    0.878    0.166
           5    0.733    0.166   -0.058    0.040    0.015    0.754    0.521    1.390    0.887    0.154
           6    0.890    0.160   -0.040    0.090    0.026    0.779    0.495    1.388    0.909    0.140
::::::::::::::
           1    0.106    0.250   -0.024    0.025    0.012    0.717    0.535    1.990    0.871    0.196
           2    0.247    0.251    0.012    0.020    0.012    0.704    0.531    1.963    0.858    0.193
           3    0.413    0.252   -0.046    0.023    0.013    0.688    0.510    1.924    0.842    0.186
           4    0.572    0.251   -0.011    0.027    0.016    0.697    0.503    1.942    0.853    0.176
           5    0.725    0.247   -0.120    0.053    0.017    0.737    0.500    2.024    0.892    0.164
           6    0.879    0.240    0.124    0.181    0.056    0.786    0.463    2.101    0.936    0.149
::::::::::::::
           1    0.106    0.338    0.014    0.037    0.012    0.698    0.527    2.622    0.875    0.206
           2    0.250    0.339   -0.011    0.028    0.012    0.669    0.517    2.520    0.845    0.203
           3    0.411    0.338   -0.024    0.030    0.011    0.658    0.493    2.475    0.835    0.195
           4    0.566    0.336   -0.046    0.040    0.015    0.698    0.483    2.609    0.877    0.185
           5    0.716    0.331    0.002    0.104    0.013    0.759    0.476    2.800    0.935    0.173
::::::::::::::
           1    0.107    0.421   -0.144    0.071    0.013    0.678    0.512    3.167    0.880    0.214
           2    0.250    0.422   -0.028    0.050    0.011    0.653    0.496    3.062    0.855    0.210
           3    0.406    0.422    0.090    0.054    0.018    0.658    0.471    3.085    0.862    0.202
           4    0.557    0.416    0.119    0.092    0.031    0.714    0.460    3.304    0.917    0.192
